"x"	"y"
0	3.62204e-21
0	-1.30012e-18
0	-1.63926e-19
0	2.3357e-08
0	3.93805e-08
0	5.02648e-08
0	5.7629e-08
0	6.26375e-08
0	6.61187e-08
0	6.86529e-08
0	7.06333e-08
0	7.23108e-08
0	7.38321e-08
0	7.52738e-08
0	7.6672e-08
0	7.80433e-08
0	7.93943e-08
0	8.07265e-08
0	8.20414e-08
0	8.3341e-08
0	8.46281e-08
0	8.59048e-08
0	8.71733e-08
0	8.8435e-08
0	8.96907e-08
0	9.09409e-08
0	9.21857e-08
0	9.34246e-08
0	9.46572e-08
0	9.58828e-08
0	9.71005e-08
0	9.83096e-08
0	9.95096e-08
0	1.007e-07
0	1.0188e-07
0	1.03051e-07
0	1.04212e-07
0	1.05364e-07
0	1.06508e-07
0	1.07643e-07
0	1.08771e-07
0	1.09891e-07
0	1.11005e-07
0	1.12113e-07
0	1.13214e-07
0	1.14309e-07
0	1.15399e-07
0	1.16483e-07
0	1.17562e-07
0	1.18636e-07
0	1.19705e-07
0	1.2077e-07
0	1.21831e-07
0	1.22889e-07
0	1.23944e-07
0	1.24997e-07
0	1.26047e-07
0	1.27095e-07
0	1.28142e-07
0	1.29186e-07
0	1.3023e-07
0	1.31271e-07
0	1.32312e-07
0	1.33352e-07
0	1.3439e-07
0	1.35428e-07
0	1.36466e-07
0	1.37503e-07
0	1.38541e-07
0	1.39578e-07
0	1.40616e-07
0	1.41655e-07
0	1.42694e-07
0	1.43734e-07
0	1.44776e-07
0	1.45819e-07
0	1.46863e-07
0	1.47908e-07
0	1.48956e-07
0	1.50004e-07
0	1.51054e-07
0	1.52106e-07
0	1.53158e-07
0	1.54212e-07
0	1.55266e-07
0	1.5632e-07
0	1.57374e-07
0	1.58428e-07
0	1.5948e-07
0	1.60532e-07
0	1.61581e-07
0	1.62629e-07
0	1.63675e-07
0	1.64719e-07
0	1.65761e-07
0	1.66801e-07
0	1.6784e-07
0	1.68877e-07
0	1.69912e-07
0	1.70946e-07
0	1.71979e-07
0	1.73012e-07
0	1.74044e-07
0	1.74044e-07
0.002	1.84838e-07
0.004	1.9628e-07
0.006	2.08406e-07
0.008	2.21255e-07
0.01	2.34867e-07
0.012	2.49284e-07
0.014	2.6455e-07
0.016	2.80711e-07
0.018	2.97817e-07
0.02	3.15916e-07
0.022	3.35063e-07
0.024	3.55311e-07
0.026	3.76718e-07
0.028	3.99344e-07
0.03	4.23251e-07
0.032	4.48503e-07
0.034	4.75166e-07
0.036	5.03311e-07
0.038	5.33009e-07
0.04	5.64334e-07
0.042	5.97362e-07
0.044	6.32173e-07
0.046	6.68848e-07
0.048	7.07471e-07
0.05	7.48128e-07
0.052	7.90907e-07
0.054	8.35897e-07
0.056	8.83193e-07
0.058	9.32888e-07
